Locality,Municipality,Population(December 31th, 2017),Land area(hectare),Population density(inv./km²),Locality code,Latitude,Longitude
Abbekås,Skurups kommun,765,143,535,3300
Abborrberget,Strängnäs kommun,2 464,154,1 600,0699
Alberga,Eskilstuna kommun,406,59,688,0700
Alby,Ånge kommun,328,150,219,7400
Alfta,Ovanåkers kommun,2 378,384,619,7000
Algutsrum,Mörbylånga kommun,865,175,494,2092
Alingsås,Alingsås kommun,26 919,1 400,1 923,4700
Allerum,Helsingborgs kommun,749,96,780,3304
Almunge,Uppsala kommun,806,105,768,0500
Alsike,Knivsta kommun,4 204,310,1 356,0504
Alstad,Trelleborgs kommun,357,54,661,3308
Alster,Karlstads kommun,755,137,551,5596
Alsterbro,Nybro kommun,462,104,444,2100
Alstermo,Uppvidinge kommun,878,168,523,1804
Alunda,Östhammars kommun,2 515,296,850,0508
Alvesta,Alvesta kommun,8 917,637,1 400,1808
Alvhem,Ale kommun,322,85,379,4704
Alvik,Leksands kommun,301,172,175,6402
Alvik,Luleå kommun,821,178,461,8504
Ambjörnarp,Tranemo kommun,303,102,297,4708
Ammenäs,Uddevalla kommun,580,148,392,4296
Anderslöv,Trelleborgs kommun,1 987,138,1 440,3312
Anderstorp,Gislaveds kommun,5 142,620,829,1400
Aneby,Aneby kommun,3 638,404,900,1404
Angelstad,Ljungby kommun,256,61,420,1812
Angered,Göteborgs kommun,1 221,200,611,4294
Ankarsrum,Västerviks kommun,1 329,169,786,2104
Ankarsvik,Sundsvalls kommun,1 012,208,487,7408
Anneberg,Nässjö kommun,837,115,728,1408
Annelöv,Landskrona kommun,454,67,678,3316
Antnäs,Luleå kommun,886,111,798,8508
Aplared,Borås kommun,470,64,734,4716
Arboga,Arboga kommun,10 909,774,1 409,6200
Arbrå,Bollnäs kommun,2 028,291,697,7004
Ardala,Skara kommun,715,65,1 100,5200
Arentorp,Vara kommun,484,81,598,5204
Arild,Höganäs kommun,706,330,214,3320
Arjeplog,Arjeplogs kommun,1 806,227,796,8512
Arkelstorp,Kristianstads kommun,801,156,513,2800
Arninge,Täby kommun,589,129,457,0114
Arnö,Nyköpings kommun,4 263,228,1 870,0702
Arrie,Vellinge kommun,223,37,603,3324
Arvidsjaur,Arvidsjaurs kommun,4 683,427,1 097,8516
Arvidsvik,Kungälvs kommun,815,69,1 181,4506
Arvika,Arvika kommun,14 052,1 079,1 302,5604
Aröd och Timmervik,Kungälvs kommun,890,263,338,5070
Askeby,Linköpings kommun,499,57,875,1004
Askersby,Örebro kommun,256,60,427,5900
Askersund,Askersunds kommun,4 088,381,1 073,5904
Asmundtorp,Landskrona kommun,1 606,118,1 361,3328
Aspeboda,Falu kommun,225,106,212,6408
Asperö,Göteborgs kommun,404,38,1 063,4298
Aspås,Krokoms kommun,502,155,324,7800
Avan,Luleå kommun,220,69,319,8524
Avesta,Avesta kommun,11 989,1 077,1 113,6404
Axvall,Skara kommun,1 149,116,991,5208
Backa,Rättviks kommun,559,309,181,6410
Backaryd,Ronneby kommun,400,71,563,2600
Backe,Strömsunds kommun,569,152,374,7804
Baggetorp,Vingåkers kommun,473,90,526,0704
Baldersnäs,Värmdö kommun,269,188,143,0118
Ballingslöv,Hässleholms kommun,346,66,524,2804
Balsby,Kristianstads kommun,466,56,832,2808
Bammarboda,Österåkers kommun,648,308,210,0102
Bankekind,Linköpings kommun,490,47,1 043,1008
Bankeryd,Jönköpings kommun,8 668,676,1 282,1412
Bara,Svedala kommun,3 734,176,2 122,3332
Barkarö,Västerås kommun,1 521,143,1 064,6204
Barnarp och Odensjö,Jönköpings kommun,2 865,201,1 425,1612
Barsebäck,Kävlinge kommun,729,61,1 195,3336
Barsebäckshamn,Kävlinge kommun,476,53,898,3337
Baskemölla,Simrishamns kommun,318,68,468,2812
Bastuträsk,Norsjö kommun,369,90,410,8112
Beddingestrand,Trelleborgs kommun,1 356,385,352,3338
Bengtsfors,Bengtsfors kommun,3 238,390,830,4720
Bengtsheden,Falu kommun,517,178,290,6412
Bensbyn,Luleå kommun,585,128,457,8528
Berg,Gävle kommun,308,118,261,7014
Berg,Linköpings kommun,1 307,107,1 221,1016
Berg,Åtvidabergs kommun,302,54,559,1012
Berga,Högsby kommun,771,145,532,2108
Berga,Norrköpings kommun,272,20,1 360,1018
Bergagård,Falkenbergs kommun,246,52,473,3908
Bergby,Gävle kommun,1 544,467,331,7016
Bergeforsen,Timrå kommun,1 795,284,632,7416
Berghem,Marks kommun,376,84,448,4724
Bergkvara,Torsås kommun,1 093,217,504,2112
Bergnäset,Luleå kommun,3 707,294,1 261,8532
Bergshammar,Nyköpings kommun,827,65,1 272,0708
Bergshamra,Norrtälje kommun,597,254,235,0100
Bergsjö,Nordanstigs kommun,1 288,186,692,7020
Bergströmshusen,Staffanstorps kommun,394,31,1 271,2814
Bergsviken,Piteå kommun,2 267,209,1 085,8536
Bergsäng,Hagfors kommun,193,76,254,5608
Bergvik,Söderhamns kommun,707,168,421,7024
Bestorp,Linköpings kommun,503,95,529,1020
Betsede,Värmdö kommun,314,55,571,0122
Bettna,Flens kommun,383,70,547,0712
Bie,Katrineholms kommun,517,63,821,0716
Billdal,Kungsbacka kommun,15 036,1 874,802,4300
Billeberga,Svalövs kommun,1 048,139,754,3340
Billinge,Eslövs kommun,432,76,568,3348
